Run,Assay Type,AvgSpotLen,BioProject,BioSample,BioSampleModel,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study,tissue,dev_stage,experiment_batch,Cultivar,Biomaterial_provider,Ecotype,treatment
SRR7647243,ChIP-Seq,40,PRJNA381300,SAMN09767970,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510199,H3K27me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_B_H3K27me3_Cornell_2,SINGLE,ChIP,GENOMIC,1063,576,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629608,AC_B_H3K27me3_Cornell_2,SRP102870,fruit flesh,break stage,Cornell_2,AC,,,
SRR7647247,ChIP-Seq,79,PRJNA381300,SAMN09767955,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510195,H3K4me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_B5_H3K4me3_Cornell_1,SINGLE,ChIP,GENOMIC,606,362,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629604,AC_B5_H3K4me3_Cornell_1,SRP102870,fruit flesh,ripe stage,Cornell_1,AC,,,
SRR7647251,ChIP-Seq,40,PRJNA381300,SAMN09767959,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510191,H3K27me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_leaf_H3K27me3_Cornell_1,SINGLE,ChIP,GENOMIC,1330,614,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629601,AC_leaf_H3K27me3_Cornell_1,SRP102870,leaf,leaf,Cornell_1,AC,,,
SRR7647253,ChIP-Seq,300,PRJNA381300,SAMN09767957,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510189,H3K27me3 ChIP-seq,China,Asia,China: Hong Kong,Illumina HiSeq 2000,cnr_47DPA_HK27me3_PH174_2,PAIRED,ChIP,GENOMIC,3356,1221,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629599,cnr_47DPA_HK27me3_PH174_2,SRP102870,fruit flesh,47 days post anthesis,PH174_2,cnr,,,
SRR7647256,ChIP-Seq,35,PRJNA381300,SAMN09767961,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510186,H3K27me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_leaf_H3K27me3_Cornell_3,SINGLE,ChIP,GENOMIC,282,163,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629595,AC_leaf_H3K27me3_Cornell_3,SRP102870,leaf,leaf,Cornell_3,AC,,,
SRR7647259,ChIP-Seq,79,PRJNA381300,SAMN09767966,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510183,H3K27me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_27DPA_H3K27me3_Cornell_1,SINGLE,ChIP,GENOMIC,494,295,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629592,AC_27DPA_H3K27me3_Cornell_1,SRP102870,fruit flesh,27 days post anthesis,Cornell_1,AC,,,
SRR7647262,ChIP-Seq,300,PRJNA381300,SAMN09767942,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510180,TF ChIP-seq,China,Asia,China: Hong Kong,HiSeq X Ten,TAGL1_Ripe_PH165_1,PAIRED,ChIP,GENOMIC,2452,963,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629588,TAGL1_Ripe_PH165_1,SRP102870,fruit flesh,Ripe,PH165_1,AC,,,
SRR7647264,DNase-Hypersensitivity,300,PRJNA381300,SAMN09767977,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510178,DNase-seq,China,Asia,China: Hong Kong,HiSeq X Ten,cnr_47DPA_DNase-seq_PH158_2,PAIRED,DNase,GENOMIC,1707,610,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629587,cnr_47DPA_DNase-seq_PH158_2,SRP102870,fruit flesh,47 days post anthesis,PH158_2,cnr,,,
SRR7647265,ChIP-Seq,300,PRJNA381300,SAMN09767935,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510177,TF ChIP-seq,China,Asia,China: Hong Kong,HiSeq X Ten,AC_47DPA_RIN_PH162_2,PAIRED,ChIP,GENOMIC,5152,2115,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629586,AC_47DPA_RIN_PH162_2,SRP102870,fruit flesh,47 days post anthesis,PH162_2,AC,,,
SRR7647267,ChIP-Seq,300,PRJNA381300,SAMN09767933,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510175,TF ChIP-seq,China,Asia,China: Hong Kong,HiSeq X Ten,AC_47DPA_RIN_PH152_1,PAIRED,ChIP,GENOMIC,3504,1330,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629585,AC_47DPA_RIN_PH152_1,SRP102870,fruit flesh,47 days post anthesis,PH152_1,AC,,,
SRR7647268,ChIP-Seq,300,PRJNA381300,SAMN09767934,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510174,TF ChIP-seq,China,Asia,China: Hong Kong,HiSeq X Ten,AC_47DPA_RIN_PH162_1,PAIRED,ChIP,GENOMIC,6195,2537,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629583,AC_47DPA_RIN_PH162_1,SRP102870,fruit flesh,47 days post anthesis,PH162_1,AC,,,
SRR7647270,ChIP-Seq,300,PRJNA381300,SAMN09767940,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510172,TF ChIP-seq,China,Asia,China: Hong Kong,HiSeq X Ten,TAGL1_Ripe_PH153_1,PAIRED,ChIP,GENOMIC,6017,2293,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629581,TAGL1_Ripe_PH153_1,SRP102870,fruit flesh,Ripe,PH153_1,AC,,,
SRR7647272,ChIP-Seq,300,PRJNA381300,SAMN09767938,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510170,TF ChIP-seq,China,Asia,China: Hong Kong,HiSeq X Ten,TAGL1_34DPA_PH153_1,PAIRED,ChIP,GENOMIC,6681,2506,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629579,TAGL1_34DPA_PH153_1,SRP102870,fruit flesh,34 days post anthesis,PH153_1,AC,,,
SRR7647274,ChIP-Seq,35,PRJNA381300,SAMN09767964,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510168,H3K27me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_17DPA_H3K27me3_Cornell_1,SINGLE,ChIP,GENOMIC,357,205,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629578,AC_17DPA_H3K27me3_Cornell_1,SRP102870,fruit flesh,17 days post anthesis,Cornell_1,AC,,,
SRR7647216,ChIP-Seq,79,PRJNA381300,SAMN09767951,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510226,H3K4me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_17DPA_H3K4me3_Cornell_1,SINGLE,ChIP,GENOMIC,200,121,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629635,AC_17DPA_H3K4me3_Cornell_1,SRP102870,fruit flesh,17 days post anthesis,Cornell_1,AC,,,
SRR7647218,ChIP-Seq,35,PRJNA381300,SAMN09767971,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510224,H3K27me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_B_H3K27me3_Cornell_3,SINGLE,ChIP,GENOMIC,69,34,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629632,AC_B_H3K27me3_Cornell_3,SRP102870,fruit flesh,break stage,Cornell_3,AC,,,
SRR7647219,ChIP-Seq,35,PRJNA381300,SAMN09767972,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510223,H3K27me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_B5_H3K27me3_Cornell_1,SINGLE,ChIP,GENOMIC,0,0,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629633,AC_B5_H3K27me3_Cornell_1,SRP102870,fruit flesh,5 days after break stage,Cornell_1,AC,,,
SRR7647220,ChIP-Seq,300,PRJNA381300,SAMN09767945,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510222,H3K4me3 ChIP-seq,China,Asia,China: Hong Kong,Illumina HiSeq 2000,cnr_47DPA_H3K4me3_PH152_2,PAIRED,ChIP,GENOMIC,3386,1318,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629631,cnr_47DPA_H3K4me3_PH152_2,SRP102870,fruit flesh,47 days post anthesis,PH152_2,cnr,,,
SRR7647221,ChIP-Seq,35,PRJNA381300,SAMN09767946,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510221,H3K4me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,nor_B_H3K4me3_Cornell_1,SINGLE,ChIP,GENOMIC,406,215,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629628,nor_B_H3K4me3_Cornell_1,SRP102870,fruit flesh,break stage,Cornell_1,nor,,,
SRR7647222,ChIP-Seq,300,PRJNA381300,SAMN09767943,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510220,TF ChIP-seq,China,Asia,China: Hong Kong,HiSeq X Ten,TAGL1_Ripe_PH165_2,PAIRED,ChIP,GENOMIC,2331,902,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629629,TAGL1_Ripe_PH165_2,SRP102870,fruit flesh,Ripe,PH165_2,AC,,,
SRR7647224,ChIP-Seq,35,PRJNA381300,SAMN09767949,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510218,H3K4me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_7DPA_H3K4me3_Cornell_1,SINGLE,ChIP,GENOMIC,215,117,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629627,AC_7DPA_H3K4me3_Cornell_1,SRP102870,fruit flesh,7 days post anthesis,Cornell_1,AC,,,
SRR7647226,ChIP-Seq,35,PRJNA381300,SAMN09767947,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510216,H3K4me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_leaf_H3K4me3_Cornell_1,SINGLE,ChIP,GENOMIC,348,191,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629626,AC_leaf_H3K4me3_Cornell_1,SRP102870,leaf,leaf,Cornell_1,AC,,,
SRR7647228,RNA-Seq,300,PRJNA381300,SAMN09767989,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510214,RNA-seq,China,Asia,China: Hong Kong,HiSeq X Ten,Ved_leaf_2_RNA-seq_PH026,PAIRED,RT-PCR,TRANSCRIPTOMIC,879,366,Cucumis melo,ILLUMINA,2018-08-06T00:00:00Z,SRS3629623,Ved_leaf_2_RNA-seq_PH026,SRP102870,leaf,stage 2,PH026,Vedrantais (climacteric),,,
SRR7647230,ChIP-Seq,300,PRJNA381300,SAMN09767987,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510212,TF ChIP-seq,Egypt,Africa,Egypt,HiSeq X Ten,Pp_NOR_Ripe_PH173_2,PAIRED,ChIP,GENOMIC,3373,1252,Prunus persica,ILLUMINA,2018-08-06T00:00:00Z,SRS3629621,Pp_NOR_Ripe_PH173_2,SRP102870,fruit flesh,ripe,PH173_2,not collected (yellow fruit flesh),,,
SRR7647232,Bisulfite-Seq,300,PRJNA381300,SAMN09767985,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510210,BS-seq,China,Asia,China: Hong Kong,HiSeq X Ten,cnr_47DPA_BS_PH162_4,PAIRED,RANDOM,GENOMIC,7579,3162,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629620,cnr_47DPA_BS_PH162_4,SRP102870,fruit flesh,47 days post anthesis,PH162_4,cnr,,,
SRR7647234,Bisulfite-Seq,300,PRJNA381300,SAMN09767983,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510208,BS-seq,China,Asia,China: Hong Kong,HiSeq X Ten,cnr_47DPA_BS_PH162_2,PAIRED,RANDOM,GENOMIC,6874,2868,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629618,cnr_47DPA_BS_PH162_2,SRP102870,fruit flesh,47 days post anthesis,PH162_2,cnr,,,
SRR7647235,Bisulfite-Seq,300,PRJNA381300,SAMN09767984,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510207,BS-seq,China,Asia,China: Hong Kong,HiSeq X Ten,cnr_47DPA_BS_PH162_3,PAIRED,RANDOM,GENOMIC,7018,2941,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629616,cnr_47DPA_BS_PH162_3,SRP102870,fruit flesh,47 days post anthesis,PH162_3,cnr,,,
SRR7647238,ChIP-Seq,300,PRJNA381300,SAMN09767973,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510204,H3K27ac ChIP-seq,China,Asia,China: Hong Kong,HiSeq X Ten,cnr_47DPA_H3K27ac_PH152_1,PAIRED,ChIP,GENOMIC,4781,1824,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629613,cnr_47DPA_H3K27ac_PH152_1,SRP102870,fruit flesh,47 days post anthesis,PH152_1,cnr,,,
SRR7647240,ChIP-Seq,35,PRJNA381300,SAMN09767968,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510202,H3K27me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_MG_H3K27me3_Cornell_2,SINGLE,ChIP,GENOMIC,127,63,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629611,AC_MG_H3K27me3_Cornell_2,SRP102870,fruit flesh,mature green stage,Cornell_2,AC,,,
SRR7647242,DNase-Hypersensitivity,300,PRJNA381300,SAMN09767975,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510200,DNase-seq,China,Asia,China: Hong Kong,HiSeq X Ten,AC_17DPA_DNase-seq_PH177_1,PAIRED,DNase,GENOMIC,13391,4723,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629609,AC_17DPA_DNase-seq_PH177_1,SRP102870,fruit flesh,17 days post anthesis,PH177_1,AC,,,
SRR7647244,DNase-Hypersensitivity,300,PRJNA381300,SAMN09767976,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510198,DNase-seq,China,Asia,China: Hong Kong,HiSeq X Ten,cnr_47DPA_DNase-seq_PH158_1,PAIRED,DNase,GENOMIC,1713,612,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629607,cnr_47DPA_DNase-seq_PH158_1,SRP102870,fruit flesh,47 days post anthesis,PH158_1,cnr,,,
SRR7647246,ChIP-Seq,300,PRJNA381300,SAMN09767956,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510196,H3K27me3 ChIP-seq,China,Asia,China: Hong Kong,Illumina HiSeq 2000,cnr_47DPA_HK27me3_PH174_1,PAIRED,ChIP,GENOMIC,3259,1192,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629605,cnr_47DPA_HK27me3_PH174_1,SRP102870,fruit flesh,47 days post anthesis,PH174_1,cnr,,,
SRR7647248,ChIP-Seq,79,PRJNA381300,SAMN09767954,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510194,H3K4me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_B_H3K4me3_Cornell_1,SINGLE,ChIP,GENOMIC,246,142,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629603,AC_B_H3K4me3_Cornell_1,SRP102870,fruit flesh,break stage,Cornell_1,AC,,,
SRR7647250,ChIP-Seq,40,PRJNA381300,SAMN09767960,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510192,H3K27me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_leaf_H3K27me3_Cornell_2,SINGLE,ChIP,GENOMIC,1141,462,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629600,AC_leaf_H3K27me3_Cornell_2,SRP102870,leaf,leaf,Cornell_2,AC,,,
SRR7647252,ChIP-Seq,35,PRJNA381300,SAMN09767958,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510190,H3K27me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,nor_B_H3K27me3_Cornell_1,SINGLE,ChIP,GENOMIC,413,223,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629598,nor_B_H3K27me3_Cornell_1,SRP102870,fruit flesh,break stage,Cornell_1,nor,,,
SRR7647254,ChIP-Seq,35,PRJNA381300,SAMN09767965,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510188,H3K27me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_17DPA_H3K27me3_Cornell_2,SINGLE,ChIP,GENOMIC,117,58,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629597,AC_17DPA_H3K27me3_Cornell_2,SRP102870,fruit flesh,17 days post anthesis,Cornell_2,AC,,,
SRR7647255,ChIP-Seq,35,PRJNA381300,SAMN09767962,Plant,THE CHINESE UNIVERSITY OF HONGKONG,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4510187,H3K27me3 ChIP-seq,USA,North America,USA: Cornell U.,Illumina HiSeq 2000,AC_leaf_H3K27me3_Cornell_4,SINGLE,ChIP,GENOMIC,132,67,Solanum lycopersicum,ILLUMINA,2018-08-06T00:00:00Z,SRS3629596,AC_leaf_H3K27me3_Cornell_4,SRP102870,leaf,leaf,Cornell_4,AC,,,
