Run,Assay Type,AvgSpotLen,BioProject,BioSample,BioSampleModel,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study,tissue,Batch,Biological_replicate,Experiment
SRR5748717,Bisulfite-Seq,300,PRJNA391551,SAMN07270440,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949359,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_BS_1.1,PAIRED,RANDOM,GENOMIC,33705,15058,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307847,ZmMC_BS_1.1,SRP110225,leaf mesophyll,1,1,WGBS-seq
SRR5748718,RNA-Seq,300,PRJNA391551,SAMN07270439,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949358,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_mRNA_2,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,3129,1257,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307844,ZmMC_mRNA_2,SRP110225,leaf mesophyll,1,2,RNA-seq
SRR5748719,Bisulfite-Seq,202,PRJNA391551,SAMN07270446,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949357,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_BS_2.3,PAIRED,RANDOM,GENOMIC,19775,9593,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307845,ZmMC_BS_2.3,SRP110225,leaf mesophyll,3,2,WGBS-seq
SRR5748720,Bisulfite-Seq,300,PRJNA391551,SAMN07270445,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949356,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_BS_2.2,PAIRED,RANDOM,GENOMIC,33872,15102,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307843,ZmMC_BS_2.2,SRP110225,leaf mesophyll,2,2,WGBS-seq
SRR5748721,Bisulfite-Seq,300,PRJNA391551,SAMN07270444,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949355,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_BS_2.1,PAIRED,RANDOM,GENOMIC,36025,15878,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307842,ZmMC_BS_2.1,SRP110225,leaf mesophyll,1,2,WGBS-seq
SRR5748722,Bisulfite-Seq,300,PRJNA391551,SAMN07270443,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949354,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_BS_1.4,PAIRED,RANDOM,GENOMIC,59240,23547,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307841,ZmMC_BS_1.4,SRP110225,leaf mesophyll,4,1,WGBS-seq
SRR5748723,Bisulfite-Seq,300,PRJNA391551,SAMN07270448,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949353,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_BS_2.5,PAIRED,RANDOM,GENOMIC,16400,6610,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307838,ZmMC_BS_2.5,SRP110225,leaf mesophyll,5,2,WGBS-seq
SRR5748724,Bisulfite-Seq,300,PRJNA391551,SAMN07270447,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949352,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_BS_2.4,PAIRED,RANDOM,GENOMIC,43775,19965,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307839,ZmMC_BS_2.4,SRP110225,leaf mesophyll,4,2,WGBS-seq
SRR5748725,OTHER,300,PRJNA391551,SAMN07270531,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949351,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_HiC_1.1.1,PAIRED,size fractionation,GENOMIC,49344,17961,Solanum lycopersicum,ILLUMINA,2017-07-16T00:00:00Z,SRS2307840,SlMC_HiC_1.1.1,SRP110225,leaf mesophyll,1,1,in situ HiC
SRR5748726,OTHER,300,PRJNA391551,SAMN07270532,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949350,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_HiC_1.1.2,PAIRED,size fractionation,GENOMIC,38989,16202,Solanum lycopersicum,ILLUMINA,2017-07-16T00:00:00Z,SRS2307837,SlMC_HiC_1.1.2,SRP110225,leaf mesophyll,2,1,in situ HiC
SRR5748727,ChIP-Seq,300,PRJNA391551,SAMN07270529,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949349,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_H3K27ac_1.1,PAIRED,ChIP,GENOMIC,4094,1454,Solanum lycopersicum,ILLUMINA,2017-07-16T00:00:00Z,SRS2307836,SlMC_H3K27ac_1.1,SRP110225,leaf mesophyll,1,1,H3K27ac-seq
SRR5748728,ChIP-Seq,300,PRJNA391551,SAMN07270530,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949348,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_H3K27ac_1.2,PAIRED,ChIP,GENOMIC,5028,1731,Solanum lycopersicum,ILLUMINA,2017-07-16T00:00:00Z,SRS2307835,SlMC_H3K27ac_1.2,SRP110225,leaf mesophyll,2,1,H3K27ac-seq
SRR5748729,OTHER,300,PRJNA391551,SAMN07270535,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949347,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_HiC_1.2.1,PAIRED,size fractionation,GENOMIC,27339,9968,Solanum lycopersicum,ILLUMINA,2017-07-16T00:00:00Z,SRS2307834,SlMC_HiC_1.2.1,SRP110225,leaf mesophyll,1,3,in situ HiC
SRR5748730,OTHER,300,PRJNA391551,SAMN07270536,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949346,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_HiC_1.2.2,PAIRED,size fractionation,GENOMIC,31307,13019,Solanum lycopersicum,ILLUMINA,2017-07-16T00:00:00Z,SRS2307833,SlMC_HiC_1.2.2,SRP110225,leaf mesophyll,2,3,in situ HiC
SRR5748731,OTHER,300,PRJNA391551,SAMN07270533,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949345,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_HiC_2.1.1,PAIRED,size fractionation,GENOMIC,37335,13780,Solanum lycopersicum,ILLUMINA,2017-07-16T00:00:00Z,SRS2307832,SlMC_HiC_2.1.1,SRP110225,leaf mesophyll,1,2,in situ HiC
SRR5748732,OTHER,300,PRJNA391551,SAMN07270534,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949344,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_HiC_2.1.2,PAIRED,size fractionation,GENOMIC,61383,25824,Solanum lycopersicum,ILLUMINA,2017-07-16T00:00:00Z,SRS2307831,SlMC_HiC_2.1.2,SRP110225,leaf mesophyll,2,2,in situ HiC
SRR5748733,OTHER,300,PRJNA391551,SAMN07270537,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949343,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_HiC_2.2.1,PAIRED,size fractionation,GENOMIC,23883,8869,Solanum lycopersicum,ILLUMINA,2017-07-16T00:00:00Z,SRS2307829,SlMC_HiC_2.2.1,SRP110225,leaf mesophyll,1,4,in situ HiC
SRR5748734,OTHER,300,PRJNA391551,SAMN07270538,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949342,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_HiC_2.2.2,PAIRED,size fractionation,GENOMIC,13559,5856,Solanum lycopersicum,ILLUMINA,2017-07-16T00:00:00Z,SRS2307830,SlMC_HiC_2.2.2,SRP110225,leaf mesophyll,2,4,in situ HiC
SRR5748735,OTHER,300,PRJNA391551,SAMN07270540,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949341,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_HiC_2.2.4,PAIRED,size fractionation,GENOMIC,3215,1613,Solanum lycopersicum,ILLUMINA,2017-07-16T00:00:00Z,SRS2307828,SlMC_HiC_2.2.4,SRP110225,leaf mesophyll,4,4,in situ HiC
SRR5748736,OTHER,300,PRJNA391551,SAMN07270539,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Ailsa Craig,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949340,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SlMC_HiC_2.2.3,PAIRED,size fractionation,GENOMIC,1522,677,Solanum lycopersicum,ILLUMINA,2017-07-16T00:00:00Z,SRS2307827,SlMC_HiC_2.2.3,SRP110225,leaf mesophyll,3,4,in situ HiC
SRR5748737,OTHER,300,PRJNA391551,SAMN07270528,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Nipponbare,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949339,Hong Kong,Asia,Hong Kong,HiSeq X Ten,OsMC_HiC_2.1,PAIRED,size fractionation,GENOMIC,21470,8210,Oryza sativa Japonica Group,ILLUMINA,2017-07-16T00:00:00Z,SRS2307826,OsMC_HiC_2.1,SRP110225,leaf mesophyll,1,2,in situ HiC
SRR5748739,ChIP-Seq,300,PRJNA391551,SAMN07270522,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Nipponbare,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949337,Hong Kong,Asia,Hong Kong,HiSeq X Ten,OsMC_H3K4me3,PAIRED,ChIP,GENOMIC,1602,674,Oryza sativa Japonica Group,ILLUMINA,2017-07-16T00:00:00Z,SRS2307823,OsMC_H3K4me3,SRP110225,leaf mesophyll,1,1,H3K4me3-seq
SRR5748741,Tn-Seq,51,PRJNA391551,SAMN07270520,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Nipponbare,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949335,Hong Kong,Asia,Hong Kong,Illumina HiSeq 4000,OsMC_ATAC_1.1,SINGLE,size fractionation,GENOMIC,827,269,Oryza sativa Japonica Group,ILLUMINA,2017-07-16T00:00:00Z,SRS2307820,OsMC_ATAC_1.1,SRP110225,leaf mesophyll,1,1,ATAC-seq
SRR5748742,OTHER,300,PRJNA391551,SAMN07270519,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Yugu-1,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949334,Hong Kong,Asia,Hong Kong,HiSeq X Ten,SiMC_HiC_2.2.2,PAIRED,size fractionation,GENOMIC,17460,5964,Setaria italica,ILLUMINA,2017-07-16T00:00:00Z,SRS2307819,SiMC_HiC_2.2.2,SRP110225,leaf mesophyll,2,4,in situ HiC
SRR5748744,RNA-Seq,300,PRJNA391551,SAMN07270525,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Nipponbare,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949332,Hong Kong,Asia,Hong Kong,HiSeq X Ten,OsMC_mRNA_2,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,1876,776,Oryza sativa Japonica Group,ILLUMINA,2017-07-16T00:00:00Z,SRS2307815,OsMC_mRNA_2,SRP110225,leaf mesophyll,1,2,mRNA-seq
SRR5748745,RNA-Seq,300,PRJNA391551,SAMN07270524,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,Nipponbare,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949331,Hong Kong,Asia,Hong Kong,HiSeq X Ten,OsMC_mRNA_1,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,787,355,Oryza sativa Japonica Group,ILLUMINA,2017-07-16T00:00:00Z,SRS2307817,OsMC_mRNA_1,SRP110225,leaf mesophyll,1,1,mRNA-seq
SRR5748747,OTHER,300,PRJNA391551,SAMN07270468,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949329,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_HiC_1.3.4,PAIRED,size fractionation,GENOMIC,1458,673,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307814,ZmMC_HiC_1.3.4,SRP110225,leaf mesophyll,4,3,in situ HiC
SRR5748748,OTHER,300,PRJNA391551,SAMN07270467,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949328,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_HiC_1.3.3,PAIRED,size fractionation,GENOMIC,48066,20580,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307812,ZmMC_HiC_1.3.3,SRP110225,leaf mesophyll,3,3,in situ HiC
SRR5748749,OTHER,300,PRJNA391551,SAMN07270460,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949327,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_HiC_1.2.4,PAIRED,size fractionation,GENOMIC,1369,701,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307813,ZmMC_HiC_1.2.4,SRP110225,leaf mesophyll,4,2,in situ HiC
SRR5748750,OTHER,300,PRJNA391551,SAMN07270459,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949326,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_HiC_1.2.3,PAIRED,size fractionation,GENOMIC,6307,2889,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307810,ZmMC_HiC_1.2.3,SRP110225,leaf mesophyll,3,2,in situ HiC
SRR5748751,OTHER,300,PRJNA391551,SAMN07270462,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949325,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_HiC_1.2.6,PAIRED,size fractionation,GENOMIC,6164,2809,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307811,ZmMC_HiC_1.2.6,SRP110225,leaf mesophyll,6,2,in situ HiC
SRR5748752,OTHER,300,PRJNA391551,SAMN07270461,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949324,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_HiC_1.2.5,PAIRED,size fractionation,GENOMIC,43950,19993,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307807,ZmMC_HiC_1.2.5,SRP110225,leaf mesophyll,5,2,in situ HiC
SRR5748753,OTHER,300,PRJNA391551,SAMN07270464,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949323,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_HiC_1.2.8,PAIRED,size fractionation,GENOMIC,47448,21596,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307824,ZmMC_HiC_1.2.8,SRP110225,leaf mesophyll,8,2,in situ HiC
SRR5748754,OTHER,300,PRJNA391551,SAMN07270463,Plant,THE CHINESE UNIVERSITY OF HONG KONG,public,B73,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",seedling,SRX2949322,Hong Kong,Asia,Hong Kong,HiSeq X Ten,ZmMC_HiC_1.2.7,PAIRED,size fractionation,GENOMIC,1728,878,Zea mays,ILLUMINA,2017-07-16T00:00:00Z,SRS2307809,ZmMC_HiC_1.2.7,SRP110225,leaf mesophyll,7,2,in situ HiC
